GEOID,AWATER,STATEFP,COUNTYFP,FUNCSTAT,INTPTLAT,NAME,NAMELSAD,INTPTLON,TRACTCE,MTFCC,ALAND,system:index
02158000100,6686187054,02,158,S,+62.2835878,1,Census Tract 1,-163.1901714,000100,G5020,44229388640,00000000000000001ccf
02240000100,375638166,02,240,S,+63.6475775,1,Census Tract 1,-142.8279968,000100,G5020,46885202764,00000000000000001cd1
02090000100,82199,02,090,S,+64.8404900,1,Census Tract 1,-147.7179270,000100,G5020,1470478,00000000000000001cd4
02122000100,10061350110,02,122,S,+60.1237794,1,Census Tract 1,-152.8411408,000100,G5020,19686520401,00000000000000001ce3
02180000100,13216724543,02,180,S,+64.7836858,1,Census Tract 1,-164.1889119,000100,G5020,57583438151,00000000000000001ced
02198000100,14168401810,02,198,S,+55.6827733,1,Census Tract 1,-133.1623885,000100,G5020,12438265656,00000000000000001cf1
02164000100,25989695209,02,164,S,+58.1085067,1,Census Tract 1,-156.4134134,000100,G5020,61724164724,00000000000000001cf4
02070000100,5936695135,02,070,S,+59.5433255,1,Census Tract 1,-158.2671226,000100,G5020,47075050599,00000000000000001cf6
02110000100,659690262,02,110,S,+58.7306949,1,Census Tract 1,-134.8163144,000100,G5020,1431588411,00000000000000001cfa
02100000100,1041214321,02,100,S,+59.0984037,1,Census Tract 1,-135.5757906,000100,G5020,6069358955,00000000000000001cfd
02066000100,1217429937,02,066,S,+62.0344790,1,Census Tract 1,-143.9221674,000100,G5020,63952335592,00000000000000001cff
02290000100,1931551067,02,290,S,+67.0740175,1,Census Tract 1,-144.7512015,000100,G5020,104044261994,00000000000000001d02
02068000100,66105677,02,068,S,+63.6820386,1,Census Tract 1,-150.0270164,000100,G5020,32740165582,00000000000000001d05
02220000100,5005105504,02,220,S,+57.1932044,1,Census Tract 1,-135.3673965,000100,G5020,7416286305,00000000000000001d0a
02282000100,3986124692,02,282,S,+60.0174528,1,Census Tract 1,-140.4169420,000100,G5020,19744203659,00000000000000001d0b
02050000100,12114232538,02,050,S,+60.4102686,1,Census Tract 1,-162.6696818,000100,G5020,55289589652,00000000000000001d10
02016000100,22079077527,02,016,S,+51.9594469,1,Census Tract 1,+178.3388130,000100,G5020,8556804421,00000000000000001d1f
02185000100,367665274,02,185,S,+71.2875189,1,Census Tract 1,-156.6864662,000100,G5020,253339885,00000000000000001d26
02013000100,20799851130,02,013,S,+55.5139021,1,Census Tract 1,-161.7288604,000100,G5020,18091672533,00000000000000001d2d
02230000100,28784118,02,230,S,+59.5603794,1,Census Tract 1,-135.3382787,000100,G5020,1123881121,00000000000000001d35
02150000100,14121715639,02,150,S,+57.2703911,1,Census Tract 1,-153.9538893,000100,G5020,17224778461,00000000000000001d38
02060000100,949775630,02,060,S,+58.7416610,1,Census Tract 1,-156.9668053,000100,G5020,1248315815,00000000000000001d3d
02188000100,10945757461,02,188,S,+67.0050655,1,Census Tract 1,-160.0210864,000100,G5020,91704810453,00000000000000001d3e
02130000200,777766,02,130,S,+55.3710684,2,Census Tract 2,-131.6691004,000200,G5020,15858495,00000000000000001ccc
02090000200,92071,02,090,S,+64.8327697,2,Census Tract 2,-147.7590332,000200,G5020,4540969,00000000000000001cdd
02122000200,1909569338,02,122,S,+60.8348105,2,Census Tract 2,-150.7242228,000200,G5020,2280601824,00000000000000001cea
02180000200,564033550,02,180,S,+64.6079158,2,Census Tract 2,-165.4538907,000200,G5020,1907196159,00000000000000001cee
02198000200,81823451,02,198,S,+55.3969895,2,Census Tract 2,-132.9435505,000200,G5020,338370512,00000000000000001cf2
02070000200,7184748,02,070,S,+58.9764718,2,Census Tract 2,-158.6658669,000200,G5020,409774642,00000000000000001cf5
02110000200,36094,02,110,S,+58.3972000,2,Census Tract 2,-134.5719857,000200,G5020,7478977,00000000000000001cfb
02063000200,5630166260,02,063,S,+60.4949175,2,Census Tract 2,-144.7694803,000200,G5020,13628907828,00000000000000001d00
02290000200,1280076862,02,290,S,+65.9920784,2,Census Tract 2,-150.7374061,000200,G5020,103608736554,00000000000000001d03
02170000200,178491288,02,170,S,+62.0062263,2,Census Tract 2,-147.5314722,000200,G5020,11174649286,00000000000000001d07
02220000200,32642031,02,220,S,+57.0478562,2,Census Tract 2,-135.3663380,000200,G5020,17129458,00000000000000001d09
02195000200,2385848260,02,195,S,+57.1124581,2,Census Tract 2,-133.0085979,000200,G5020,7512663865,00000000000000001d0d
02050000200,27759252,02,050,S,+60.8141519,2,Census Tract 2,-161.8508035,000200,G5020,566643599,00000000000000001d0e
02016000200,3104558227,02,016,S,+53.6210913,2,Census Tract 2,-166.7709793,000200,G5020,2821080604,00000000000000001d1e
02185000200,13012640835,02,185,S,+69.5790095,2,Census Tract 2,-154.2222177,000200,G5020,221585760401,00000000000000001d27
02150000200,551850,02,150,S,+57.8130530,2,Census Tract 2,-152.3830810,000200,G5020,14068980,00000000000000001d3c
02188000200,1891511205,02,188,S,+66.6682856,2,Census Tract 2,-162.1049473,000200,G5020,662662364,00000000000000001d3f
02130000300,1011619,02,130,S,+55.3471230,3,Census Tract 3,-131.6237818,000300,G5020,7004350,00000000000000001ccd
02090000300,0,02,090,S,+64.8282632,3,Census Tract 3,-147.7266285,000300,G5020,2894938,00000000000000001cd5
02122000300,275609503,02,122,S,+60.6153549,3,Census Tract 3,-149.3727833,000300,G5020,4372522278,00000000000000001ce6
02198000300,28044435,02,198,S,+55.9562993,3,Census Tract 3,-130.1831353,000300,G5020,522763486,00000000000000001cef
02110000300,1983202,02,110,S,+58.3995109,3,Census Tract 3,-134.5401512,000300,G5020,13009152,00000000000000001cf7
02063000300,8908762462,02,063,S,+60.5251372,3,Census Tract 3,-147.3610744,000300,G5020,11053260531,00000000000000001cfe
02290000300,1453870868,02,290,S,+65.5696186,3,Census Tract 3,-155.6689795,000300,G5020,87569121564,00000000000000001d04
02275000300,2384375227,02,275,S,+56.1807793,3,Census Tract 3,-132.0267878,000300,G5020,6619997018,00000000000000001d0c
