mean,GEOID,AWATER,STATEFP,COUNTYFP,FUNCSTAT,INTPTLAT,NAME,NAMELSAD,INTPTLON,TRACTCE,MTFCC,ALAND,system:index
68.07992565055761,47157000100,2574384,47,157,S,+35.1745847,1,Census Tract 1,-090.0518440,000100,G5020,4308121,000300000000000018f1
71.625,47157000200,45527,47,157,S,+35.1681487,2,Census Tract 2,-090.0424321,000200,G5020,1056567,00030000000000001795
75.02145922746782,47157000300,92996,47,157,S,+35.1768246,3,Census Tract 3,-090.0293407,000300,G5020,2873919,000300000000000018f2
74.19553072625698,47157000400,91258,47,157,S,+35.1768576,4,Census Tract 4,-090.0145439,000400,G5020,2276724,000300000000000018f3
73.44240837696334,47157000600,1174890,47,157,S,+35.1837381,6,Census Tract 6,-089.9990705,000600,G5020,3881777,000300000000000018ed
80.97115384615385,47157000700,0,47,157,S,+35.1673199,7,Census Tract 7,-089.9957721,000700,G5020,2497535,000300000000000017c1
81.71641791044776,47157001700,0,47,157,S,+35.1586332,17,Census Tract 17,-090.0042688,001700,G5020,1644290,000300000000000017c4
78.37837837837837,47157001900,0,47,157,S,+35.1632815,19,Census Tract 19,-090.0233110,001900,G5020,926177,000300000000000017c5
77.0,47157002000,0,47,157,S,+35.1609412,20,Census Tract 20,-090.0330286,002000,G5020,965698,000300000000000017c6
71.30882352941177,47157002100,20044,47,157,S,+35.1600207,21,Census Tract 21,-090.0444429,002100,G5020,771181,000300000000000017c7
82.46236559139783,47157002400,0,47,157,S,+35.1511855,24,Census Tract 24,-090.0266203,002400,G5020,1241871,000300000000000017c8
85.28571428571428,47157002500,0,47,157,S,+35.1506700,25,Census Tract 25,-090.0159795,002500,G5020,1620794,000300000000000017c9
91.04761904761905,47157002600,0,47,157,S,+35.1480882,26,Census Tract 26,-090.0039734,002600,G5020,1196175,000300000000000017ca
92.95049504950495,47157003200,0,47,157,S,+35.1370959,32,Census Tract 32,-089.9969196,003200,G5020,1431864,000300000000000017c0
96.0,47157003300,0,47,157,S,+35.1281689,33,Census Tract 33,-089.9987071,003300,G5020,1122826,000300000000000018ec
91.01369863013697,47157003400,0,47,157,S,+35.1375844,34,Census Tract 34,-090.0077831,003400,G5020,918349,000300000000000018f0
96.0,47157003500,0,47,157,S,+35.1279252,35,Census Tract 35,-090.0135950,003500,G5020,1413184,00030000000000001792
89.20430107526882,47157003600,0,47,157,S,+35.1388723,36,Census Tract 36,-090.0171880,003600,G5020,1213207,00030000000000001793
88.58181818181819,47157003700,0,47,157,S,+35.1355504,37,Census Tract 37,-090.0279679,003700,G5020,702169,00030000000000001794
84.48275862068964,47157003800,0,47,157,S,+35.1416192,38,Census Tract 38,-090.0282668,003800,G5020,716894,00030000000000001796
83.5813953488372,47157003900,0,47,157,S,+35.1442700,39,Census Tract 39,-090.0385579,003900,G5020,591475,00030000000000001797
74.89795918367348,47157004200,860452,47,157,S,+35.1482118,42,Census Tract 42,-090.0584855,004200,G5020,1673102,00030000000000001790
81.81102362204724,47157004300,261787,47,157,S,+35.1301387,43,Census Tract 43,-090.0650496,004300,G5020,1404914,00030000000000001789
